aes-256-cbc;;;
text1;;;
;;;
ENC;52.817;;
DEC;30.875;;
text2;;;
;;;
ENC;82.871;;
DEC;40.188;;
text3;;;
;;;
ENC;131.220;;
DEC;76.742;;
1024;;;
;;;
ENC;24.464;;
DEC;13.916;;
3238;;;
;;;
ENC;99.525;;
DEC;48.796;;
10240;;;
;;;
ENC;319.849;;4MB
DEC;356.146;;8MB
aes-256-gcm;;;16MB
text1;;;1MB
;;;10MB
ENC;41.973;;100MB
DEC;25.349;;
text2;;;
;;;
ENC;71.297;;
DEC;44.569;;
text3;;;
;;;
ENC;139.899;;
DEC;83.791;;
1024;;;
;;;
ENC;20.373;;
DEC;12.643;;
3238;;;
;;;
ENC;80.313;;
DEC;59.836;;
10240;;;
;;;
ENC;251.594;;
DEC;270.438;;
